Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Unive informatieblad schade WAverzekering   2015 20160965.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";autoverzekering;Verzekeraar;Unive Oost;;
SO\_SRV\_I\_15559231\_5080436\_A.Geurts\_P682FJ-235..pdf;;Factuur 15559231;Huiskes-Kokkeler B.V.;2026-02-20 12:31:24;debiteuren\@huiskes-kokkeler.nl;;;;;;;;;;Factuur
49061148\_102338519\_polis0155.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;
Unive polis woomverzekerng 2015   20160970.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;Polis
Unive uw post digitaal0971.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;
Univé Schade factuur Borggreve reparatie   regenpijp0972.doc;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;Factuur
2e brief zilveren kruis0973.doc;N\:dienstverlener\verzekering\Zilveren Kruis;;;;;dienstverlener;verzekering;Zilveren Kruis;;"Geval; Bezigheid";verzekering;Verzekeraar;Zilveren Kruis;;Brief
brief zilveren kruis0976.doc;N\:dienstverlener\verzekering\Zilveren Kruis;;;;;dienstverlener;verzekering;Zilveren Kruis;;"Geval; Bezigheid";verzekering;Verzekeraar;Zilveren Kruis;;Brief
1\_FAC\_ORG\_3942428\_2020-12-01 5730152.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;
Unive informatieblad schade   woonverzekering 2015 20160966.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";woonverzekering;Verzekeraar;Unive Oost;;
Unive nota verzkeringen 2015 20160967.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;Factuur
Unive polis WA verzekering 2015   20160969.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;Polis
Openbaarvervoer Geert zilveren   kruis0977.doc;N\:dienstverlener\verzekering\Zilveren Kruis;;;;;dienstverlener;verzekering;Zilveren Kruis;;"Geval; Bezigheid";verzekering;Verzekeraar;Zilveren Kruis;;
Dora Akkers0978.docx;N\:diverse;;;;;diverse;;;;;;;;;
Herroepingsrecht\_formulier\_NL-41..pdf;;Bedankt voor je bestelling;bol;2026-06-14 17:38:47;automail\@bol.com;;;;;;;;;;
argeweb\_05278858-285..pdf;;Nieuwe factuur 5278858;Argeweb administratie;2026-01-28 16:53:33;admin\@argeweb.nl;;;;;;;;;;Factuur
Maandelijks Energierapport   november-426..pdf;;Meer of minder verbruikt in november?;Eneco;2025-12-07 13:59:43;maandoverzicht\@eneco.com;;;;;;;;;;Rapport
2025-10-18 Beweismitteln Schriftliche   Stellungnahme zu den finanziellen Folgen der Scheidung-557..odt;;Fwd: Schrifliche Stellungnahme;Geert Geurts;2025-10-20 21:24:42;geert\@verweggistan.eu;;;;;;;;;;
47511877\_89737719\_bevestigingsbrief0154.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Brief
Unive pakketkorting 2015 20160968.pdf;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;
47511877\_89737718\_polis0153.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;
49061148\_102338520\_bevestigingsbrief0156.pdf;N\:auto\ANWB;;;;;auto;ANWB;;;"Geval; Bezigheid";auto;Autobedrijf;ANWB;;Brief
Unive Expertise Services BVc0964.doc;N\:dienstverlener\verzekering\Unive Oost;;;;;dienstverlener;verzekering;Unive Oost;;"Geval; Bezigheid";verzekering;Verzekeraar;Unive Oost;;Schadebeoordeling
Bezwaarbrief aan Zilveren Kruis over   Geert0974.doc;N\:dienstverlener\verzekering\Zilveren Kruis;;;;;dienstverlener;verzekering;Zilveren Kruis;;"Geval; Bezigheid";verzekering;Verzekeraar;Zilveren Kruis;;Bezwaarschrift
brief zilveren kruis   ziekenfondsinschrijving0975.doc;N\:dienstverlener\verzekering\Zilveren Kruis;;;;;dienstverlener;verzekering;Zilveren Kruis;;"Geval; Bezigheid";ziektekostenverzekering;Verzekeraar;Zilveren Kruis;;Brief
Voorwaarden\_bol\_NL\_NL-117..pdf;;Bedankt voor je bestelling;bol;2026-04-25 22:32:23;automail\@bol.com;;;;;;;;;;
Handleiding HR en salaris online   medewerkerlogin v1.13 230113 (2)2928.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Handleiding
Handleiding installeren Two factor   authentication2929.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Handleiding
Gegevens importeren in Business Contact   Manager0979.docx;N\:diverse;;;;;diverse;;;;;;;;;
Hoogsensitief (automatisch   hersteld)0980.docx;N\:diverse;;;;;diverse;;;;;;;;;
JoostThijsGeert Scheiding0981.docx;N\:diverse;;;;;diverse;;;;;;;;;
Loonstroken\_2020\_PersNr\_1055\_Geurts\_P102933.pdf;N\:werk\Vendingland;;;;;werk;Vendingland;;;Geval;;Werkgever;Vendingland;;Loonstrook
Kuyper Ruyterborgh-investments0982.docx;N\:diverse;;;;;diverse;;;;;;;;;
Lieve Riet0983.docx;N\:diverse;;;;;diverse;;;;;;;;;
Mijn OV chipkaart0984.docx;N\:diverse;;;;;diverse;;;;;;;;;
Nieuwe website Vedningland 20985.pdf;N\:diverse;;;;;diverse;;;;;;;;;
5 Eigendomsinformatie - Haaksbergen H   3231 (1)2019.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
apk-brief-achterzijde-banden 20182637.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
apk-herinneringsbrief 20182638.pdf;N\:overheid\RDW;;;;;overheid;RDW;;;Geval;;Overheid;RDW;;Brief
